Anno;DescrizIone Corso di studio;Tipologia;Codice Classe;Descrizione Classe;Sede;Durata;Dipartimento di riferimento;Erogazione;Accesso;Lingua;URL
2023-24;Amministrazione, professione e persone;Laurea magistrale;LM-77;Scienze economico-aziendali;NOVARA;2;DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA;Convenzionale;Nessuna Programmazione;italiano, inglese;https://disei.uniupo.it/it/didattica/corsi-di-laurea/amministrazione-professione-persone-app-2324
2023-24;Biologia;Laurea magistrale;LM-6;Biologia;ALESSANDRIA;2;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;Convenzionale;Nessuna programmazione;italiano;https://disit.uniupo.it/it/didattica/corsi-di-laurea/biologia-2023-2024
2023-24;Biotecnologie;Laurea;L-2;Biotecnologie;NOVARA;3;DIPARTIMENTO DI SCIENZE DELLA SALUTE;Convenzionale;Nessuna Programmazione;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-biotecnologie
2023-24;Biotecnologie farmaceutiche;Laurea magistrale;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;NOVARA;2;DIPARTIMENTO DI SCIENZE DEL FARMACO;Convenzionale;Nessuna Programmazione;italiano, inglese;https://dsf.uniupo.it/it/didattica/corsi-di-laurea/biotecnologie-farmaceutiche
2023-24;Chimica;Laurea;L-27;Scienze e tecnologie chimiche;ALESSANDRIA;3;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;Convenzionale;Nessuna programmazione;italiano;https://disit.uniupo.it/it/didattica/corsi-di-laurea/chimica-2023-2024
2023-24;Chimica e tecnologia farmaceutiche;Laurea magistrale a ciclo unico 5;LM-13.;Farmacia e farmacia industriale;NOVARA;5;DIPARTIMENTO DI SCIENZE DEL FARMACO;Convenzionale;Programmazione Locale;italiano, inglese;https://dsf.uniupo.it/it/didattica/corsi-di-laurea/chimica-tecnologia-farmaceutiche
2023-24;Chimica verde;Laurea;L-27;Scienze e tecnologie chimiche;VERCELLI;3;DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA;Convenzionale;Nessuna Programmazione;italiano;https://disste.uniupo.it/it/didattica/corsi-di-laurea/chimica-verde-aa2324
2023-24;Economia aziendale;Laurea;L-18;Scienze dell'economia e della gestione aziendale;NOVARA;3;DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA;Convenzionale;Nessuna Programmazione;italiano;https://disei.uniupo.it/it/didattica/corsi-di-laurea/economia-aziendale-clea-2324
2023-24;Economia e Management;Laurea magistrale;LM-56;Scienze dell'economia;ALESSANDRIA;2;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;Convenzionale;Nessuna Programmazione;italiano;https://digspes.uniupo.it/it/didattica/economia-management-2324
2023-24;Educazione professionale (abilitante alla professione sanitaria di Educatore professionale);Laurea;L/SNT2;Professioni sanitarie della riabilitazione;ALESSANDRIA;3;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;Convenzionale;Nessuna Programmazione;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-educazione-professionale
2023-24;Farmacia;Laurea magistrale a ciclo unico 5;LM-13.;Farmacia e farmacia industriale;NOVARA;5;DIPARTIMENTO DI SCIENZE DEL FARMACO;Convenzionale;Programmazione Locale;italiano;https://dsf.uniupo.it/it/didattica/corsi-di-laurea/farmacia
2023-24;Filologia moderna, classica e comparata;Laurea magistrale;LM-14;Filologia moderna;VERCELLI;2;DIPARTIMENTO DI STUDI UMANISTICI;Convenzionale;Nessuna programmazione;italiano;https://disum.uniupo.it/it/didattica/corsi-di-laurea/filologia-moderna-classica-comparata-laurea-binazionale-aa2324
2023-24;Filosofia e Comunicazione;Laurea;L-5;Filosofia;VERCELLI;3;DIPARTIMENTO DI STUDI UMANISTICI;Convenzionale;Nessuna programmazione;italiano;https://disum.uniupo.it/it/didattica/corsi-di-laurea/filosofia-comunicazione-aa2324
2023-24;Filosofia, politica e studi culturali;Laurea magistrale;LM-78 Scienze filosofiche & LM-62 Scienze della politica;Scienze filosofiche;VERCELLI;2;DIPARTIMENTO DI STUDI UMANISTICI;Convenzionale;Nessuna programmazione;italiano;https://disum.uniupo.it/it/didattica/corsi-di-laurea/lingue-culture-turismo-foreign-languages-cultures-tourism-laurea-binazionale-aa2324
2023-24;Fisica Applicata;Laurea;L-30;Scienze e tecnologie fisiche;VERCELLI;3;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;Convenzionale;Nessuna programmazione;italiano;https://disit.uniupo.it/it/didattica/corsi-di-laurea/fisica-applicata-2023-2024
2023-24;Fisioterapia (abilitante alla professione sanitaria di Fisioterapista);Laurea;L/SNT2;Professioni sanitarie della riabilitazione;NOVARA;3;DIPARTIMENTO DI SCIENZE DELLA SALUTE;Convenzionale;Programmazione Nazionale;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-fisioterapia
2023-24;Food Health and Environment;Laurea magistrale;LM-6;Biologia;VERCELLI;2;DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA;Convenzionale;Nessuna Programmazione;inglese;https://disste.uniupo.it/en/university-studies/course/food-health-environment-ay-2324
2023-24;Gestione Ambientale e Sviluppo Sostenibile;Laurea;L-32;Scienze e tecnologie per l'ambiente e la natura;VERCELLI;3;DIPARTIMENTO PER LO SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA;Convenzionale;Nessuna Programmazione;italiano;https://disste.uniupo.it/it/didattica/corsi-di-laurea/gestione-ambientale-sviluppo-sostenibile-gass-aa2324
2023-24;Giurisprudenza;Laurea magistrale a ciclo unico 5;LMG/01;Magistrali in giurisprudenza;ALESSANDRIA;5;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;Convenzionale;Nessuna Programmazione;italiano, inglese;https://digspes.uniupo.it/it/didattica/corsi-di-laurea/giurisprudenza-2324
2023-24;Giurisprudenza;Laurea magistrale a ciclo unico 5;LMG/01;Magistrali in giurisprudenza;NOVARA;5;DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA;Convenzionale;Nessuna Programmazione;italiano;https://disei.uniupo.it/it/didattica/corsi-di-laurea/giurisprudenza-lmg-solo-primo-secondo-anno
2023-24;Igiene dentale (abilitante alla professione sanitaria di Igienista dentale);Laurea;L/SNT3;Professioni sanitarie tecniche;NOVARA;3;DIPARTIMENTO DI SCIENZE DELLA SALUTE;Convenzionale;Programmazione Nazionale;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-igiene-dentale
2023-24;Infermieristica (abilitante alla professione sanitaria di Infermiere);Laurea;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;NOVARA;3;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;Convenzionale;Programmazione Nazionale;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-infermieristica
2023-24;Informatica;Laurea;L-31;Scienze e tecnologie informatiche;ALESSANDRIA;3;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;Convenzionale;Nessuna programmazione;italiano;https://disit.uniupo.it/it/didattica/corsi-di-laurea/informatica-2023-2024
2023-24;Intelligenza Artificiale e Innovazione Digitale;Laurea magistrale;LM-18 - Informatica & LM-91 - Tecniche e metodi per la società digitale;Informatica;VERCELLI;2;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;Convenzionale;Nessuna programmazione;italiano;https://disit.uniupo.it/it/didattica/corsi-di-laurea/intelligenza-artificiale-innovazione-digitale-2023-2024
2023-24;Lettere;Laurea;L-10;Lettere;VERCELLI;3;DIPARTIMENTO DI STUDI UMANISTICI;Convenzionale;Nessuna programmazione;italiano;https://disum.uniupo.it/it/didattica/corsi-di-laurea/lettere-vercelli-laurea-binazionale-aa2324
2023-24;Lingue Straniere Moderne;Laurea;L-11;Lingue e culture moderne;VERCELLI;3;DIPARTIMENTO DI STUDI UMANISTICI;Convenzionale;Nessuna programmazione;italiano;https://disum.uniupo.it/it/didattica/corsi-di-laurea/lingue-straniere-moderne-laurea-binazionale-aa2324
2023-24;Lingue, Culture, Turismo;Laurea magistrale;LM-37 Lingue e letterature moderne europee e americane & LM-49 Progettazione e gestione dei sistemi turistici;Lingue e letterature moderne europee e americane;VERCELLI;2;DIPARTIMENTO DI STUDI UMANISTICI;Convenzionale;Nessuna programmazione;italiano;https://disum.uniupo.it/it/didattica/corsi-di-laurea/lingue-culture-turismo-foreign-languages-cultures-tourism-laurea-binazionale-aa2324
2023-24;Management e finanza;Laurea magistrale;LM-77;Scienze economico-aziendali;NOVARA;2;DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA;Convenzionale;Nessuna Programmazione;italiano, inglese;https://disei.uniupo.it/it/didattica/corsi-di-laurea/management-finanza-mef-2324
2023-24;Medical Biotechnology;Laurea magistrale;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;NOVARA;2;DIPARTIMENTO DI SCIENZE DELLA SALUTE;Convenzionale;Nessuna Programmazione;inglese;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-medical-biotechnologies-lingua-inglese
2023-24;Medicina e chirurgia;Laurea magistrale a ciclo unico 6;LM-41;Medicina e chirurgia;NOVARA;6;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;Convenzionale;Programmazione Nazionale;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-medicina-chirurgia
2023-24;Promozione e gestione del turismo;Laurea;L-15;Scienze del turismo;NOVARA;3;DIPARTIMENTO DI STUDI PER L'ECONOMIA E L'IMPRESA;Convenzionale;Nessuna Programmazione;italiano;https://disei.uniupo.it/it/didattica/corsi-di-laurea/promozione-gestione-turismo-tur-2324
2023-24;Scienze Biologiche;Laurea;L-13;Scienze biologiche;ALESSANDRIA;3;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;Convenzionale;Nessuna programmazione;italiano;https://disit.uniupo.it/it/didattica/corsi-di-laurea/scienze-biologiche-2023-2024
2023-24;Scienze Chimiche;Laurea magistrale;LM-54;Scienze chimiche;ALESSANDRIA;2;DIPARTIMENTO DI SCIENZE E INNOVAZIONE TECNOLOGICA;Convenzionale;Nessuna programmazione;italiano;https://disit.uniupo.it/it/didattica/corsi-di-laurea/scienze-chimiche-2023-2024
2023-24;Scienze infermieristiche e ostetriche;Laurea magistrale;LM/SNT1;Scienze infermieristiche e ostetriche;NOVARA;2;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;Convenzionale;Programmazione Nazionale;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-magistrale-scienze-infermieristiche-ostetriche
2023-24;Scienze Politiche e dell'Amministrazione;Laurea;L-36;Scienze politiche e delle relazioni internazionali;ALESSANDRIA;3;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;Convenzionale;Nessuna Programmazione;italiano;https://digspes.uniupo.it/it/didattica/corsi-di-laurea/scienze-politiche-dellamministrazione-2324
2023-24;Servizio Sociale;Laurea;L-39;Servizio sociale;ASTI;3;DIPARTIMENTO DI GIURISPRUDENZA E SCIENZE POLITICHE, ECONOMICHE E SOCIALI;Convenzionale;Nessuna Programmazione;italiano;https://digspes.uniupo.it/it/didattica/corsi-di-laurea/servizio-sociale-2324
2023-24;Tecniche di laboratorio biomedico (abilitante alla professione sanitaria di Tecnico di laboratorio biomedico);Laurea;L/SNT3;Professioni sanitarie tecniche;NOVARA;3;DIPARTIMENTO DI SCIENZE DELLA SALUTE;Convenzionale;Programmazione Nazionale;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-tecniche-di-laboratorio-biomedico
2023-24;Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di Tecnico di radiologia medica);Laurea;L/SNT3;Professioni sanitarie tecniche;NOVARA;3;DIPARTIMENTO DI MEDICINA TRASLAZIONALE;Convenzionale;Programmazione Nazionale;italiano;https://scuolamed.uniupo.it/it/didattica/corsi-di-laurea/corso-di-laurea-tecniche-di-radiologia-medica-immagini-radioterapia
