Anno;RUOLO;Descrzione ruolo;Dipartimento
2023;PA;Professori Associati;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;PA;Professori Associati;Dipartimento di Medicina Traslazionale
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;PA;Professori Associati;Dipartimento di Scienze della Salute
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Studi Umanistici
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Studi Umanistici
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;PA;Professori Associati;Dipartimento di Studi Umanistici
2023;PA;Professori Associati;Dipartimento di Scienze del Farmaco
2023;PA;Professori Associati;Dipartimento di Scienze del Farmaco
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Scienze del Farmaco
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Scienze del Farmaco
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Scienze del Farmaco
2023;PA;Professori Associati;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;PA;Professori Associati;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;PA;Professori Associati;Dipartimento di Studi per l'Economia e l'Impresa
2023;PA;Professori Associati;Dipartimento di Studi per l'Economia e l'Impresa
2023;PA;Professori Associati;Dipartimento di Studi per l'Economia e l'Impresa
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Studi Umanistici
2023;PA;Professori Associati;Dipartimento di Scienze del Farmaco
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Scienze del Farmaco
2023;PA;Professori Associati;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;PA;Professori Associati;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;PA;Professori Associati;Dipartimento di Studi per l'Economia e l'Impresa
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Medicina Traslazionale
2023;PA;Professori Associati;Dipartimento di Scienze del Farmaco
2023;PA;Professori Associati;Dipartimento di Scienze e Innovazione Tecnologica
2023;PA;Professori Associati;Dipartimento di Medicina Traslazionale
2023;PA;Professori Associati;Dipartimento di Studi per l'Economia e l'Impresa
2023;PA;Professori Associati;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;PA;Professori Associati;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;PA;Professori Associati;Dipartimento di Studi Umanistici
2023;PA;Professori Associati;Dipartimento di Scienze della Salute
2023;PA;Professori Associati;Dipartimento di Medicina Traslazionale
2023;PA;Professori Associati;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;PA;Professori Associati;Dipartimento di Scienze della Salute
2023;PA;Professori Associati;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;PA;Professori Associati;Dipartimento di Medicina Traslazionale
2023;PA;Professori Associati;Dipartimento di Medicina Traslazionale
2023;PA;Professori Associati;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;PA;Professori Associati;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;PA;Professori Associati;Dipartimento di Medicina Traslazionale
2023;PA;Professori Associati;Dipartimento di Studi Umanistici
2023;PA;Professori Associati;Dipartimento di Scienze della Salute
2023;PA;Professori Associati;Dipartimento di Studi Umanistici
2023;PA;Professori Associati;Dipartimento di Scienze della Salute
2023;PA;Professori Associati;Dipartimento di Scienze della Salute
2023;PA;Professori Associati;Dipartimento di Studi per l'Economia e l'Impresa
2023;PA;Professori Associati;Dipartimento di Studi Umanistici
2023;PA;Professori Associati;Dipartimento di Studi per l'Economia e l'Impresa
2023;PA;Professori Associati;Dipartimento di Scienze della Salute
2023;PA;Professori Associati;Dipartimento di Medicina Traslazionale
2023;PA;Professori Associati;Dipartimento di Scienze della Salute
2023;PA;Professori Associati;Dipartimento di Studi Umanistici
2023;PA;Professori Associati;Dipartimento di Studi per l'Economia e l'Impresa
2023;PA;Professori Associati;Dipartimento di Scienze della Salute
2023;PA;Professori Associati;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RU;Ricercatori Universitari;Dipartimento di Scienze e Innovazione Tecnologica
2023;RU;Ricercatori Universitari;Dipartimento di Scienze e Innovazione Tecnologica
2023;RU;Ricercatori Universitari;Dipartimento di Scienze e Innovazione Tecnologica
2023;RU;Ricercatori Universitari;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RU;Ricercatori Universitari;Dipartimento di Studi Umanistici
2023;RU;Ricercatori Universitari;Dipartimento di Scienze della Salute
2023;RU;Ricercatori Universitari;Dipartimento di Studi per l'Economia e l'Impresa
2023;RU;Ricercatori Universitari;Dipartimento di Scienze della Salute
2023;RU;Ricercatori Universitari;Dipartimento di Scienze del Farmaco
2023;RU;Ricercatori Universitari;Dipartimento di Scienze del Farmaco
2023;RU;Ricercatori Universitari;Dipartimento di Studi per l'Economia e l'Impresa
2023;RU;Ricercatori Universitari;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RU;Ricercatori Universitari;Dipartimento di Scienze della Salute
2023;RU;Ricercatori Universitari;Dipartimento di Medicina Traslazionale
2023;RU;Ricercatori Universitari;Dipartimento di Scienze della Salute
2023;RU;Ricercatori Universitari;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RU;Ricercatori Universitari;Dipartimento di Scienze del Farmaco
2023;RU;Ricercatori Universitari;Dipartimento di Scienze e Innovazione Tecnologica
2023;RU;Ricercatori Universitari;Dipartimento di Medicina Traslazionale
2023;RU;Ricercatori Universitari;Dipartimento di Scienze del Farmaco
2023;RU;Ricercatori Universitari;Dipartimento di Medicina Traslazionale
2023;RU;Ricercatori Universitari;Dipartimento di Studi per l'Economia e l'Impresa
2023;RU;Ricercatori Universitari;Dipartimento di Studi per l'Economia e l'Impresa
2023;RU;Ricercatori Universitari;Dipartimento di Studi per l'Economia e l'Impresa
2023;RU;Ricercatori Universitari;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RU;Ricercatori Universitari;Dipartimento di Scienze del Farmaco
2023;RU;Ricercatori Universitari;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;PD;Prof.Straordinari Tempo det. L. 230/2005;Dipartimento di Medicina Traslazionale
2023;PF;Docenti attiv didattica art 6 c 11 L.240;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi Umanistici
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze e Innovazione Tecnologica
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze del Farmaco
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Scienze della Salute
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Medicina Traslazionale
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Studi per l'Economia e l'Impresa
2023;RD;Ricercatori Legge 240/10 - t. det.;Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali
